CFF_reference,Class,Spname_common,Species_phylo,habitat,forage_light_level,mode_of_life,mode_of_life_ref,body_mass,body_mass_ref,Method,CFF
"Chung, Wen-Sung; Marshall, N. Justin; Watson, Sue-Ann; Munday, Philip L.; Nilsson, Goran E. 2014 Ocean acidification slows retinal function in a damselfish through interference with GABA(A) receptors Ocean acidification slows retinal function in a damselfish through interference with GABA(A) receptors Chung, Wen-Sung; Marshall, N. Justin; Watson, Sue-Ann; Munday, Philip L.; Nilsson, Goran E.",Actinopterygii,Spiny chromis,Acanthochromis_polyacanthus,nektonic,high,sessile_food,based_on_food_items_fishbase,173.91,fishbase_common_16cm size,Electrophysiology,89
"Milosevic, Milena; Visnjic-Jeftic, Zeljka; Damjanovic, Ilija; Nikcevic, Miroslav; Andjus, Pavle; Gacic, Zoran 2009 Temporal analysis of electroretinographic responses in fishes with rod-dominated and mixed rod-cone retina Temporal analysis of electroretinographic responses in fishes with rod-dominated and mixed rod-cone retina Milosevic, Milena; Visnjic-Jeftic, Zeljka; Damjanovic, Ilija; Nikcevic, Miroslav; Andjus, Pavle; Gacic, Zoran",Actinopterygii,European eel,Anguilla_anguilla,demersal,low,sessile_food,predominatly_detris_and_slow_moving_benthic_fishbase,224.78,fishbase_common_50cm size,Electrophysiology,20
"Douglas RH, Hawryshyn CW (1990) Behavioural studies of fish vision: an analysis of feature-positive effect. In: Douglas RH, Djamgoz MBA (eds) The visual system of fish. London: Chapman Hall. pp. 279Ð343. / INGER ",Actinopterygii,Siamise fighting fish,Betta_splendens,nektonic,high,ballistic,Diet_of_insects_fishbase,1.1,"mean_body_mass_from Saekhow, S., Thongprajukaew, K., Phromkunthong, W. et al. Minimal water volume for intensively producing male Siamese fighting fish (Betta splendens Regan, 1910). Fish Physiol Biochem 44, 1075–1085 (2018). https://doi.org/10.1007/s10695-018-0495-z",Behavioural,60
"Pusch, Roland; Kassing, Vanessa; Riemer, Ursula; Wagner, Hans-Joachim; von der Emde, Gerhard; Engelmann, Jacob 2013 A grouped retina provides high temporal resolution in the weakly electric fish Gnathonemus petersii A grouped retina provides high temporal resolution in the weakly electric fish Gnathonemus petersii Pusch, Roland; Kassing, Vanessa; Riemer, Ursula; Wagner, Hans-Joachim; von der Emde, Gerhard; Engelmann, Jacob",Actinopterygii,Goldfish,Carassius_auratus,nektonic,high,sessile_food,"Fishbase description of Feed mainly on plankton, benthic invertebrates, plant material and detritus",16.65,fisebase_10cm common length,Electrophysiology,40
"Behrend, Konstantin; Benkner, Boris; Mora-Ferrer, Carlos 2007 Temporal resolution and temporal transfer properties: Gabaergic and cholinergic mechanisms Temporal resolution and temporal transfer properties: Gabaergic and cholinergic mechanisms Behrend, Konstantin; Benkner, Boris; Mora-Ferrer, Carlos",Actinopterygii,Goldfish,Carassius_auratus,nektonic,high,sessile_food,"Fishbase description of Feed mainly on plankton, benthic invertebrates, plant material and detritus",16.65,fisebase_10cm common length,Behavioural,39.5
"Mora-Ferrer, C; Gangluff, V 2002 D2-dopamine receptor blockade modulates temporal resolution in goldfish D2-dopamine receptor blockade modulates temporal resolution in goldfish Mora-Ferrer, C; Gangluff, V",Actinopterygii,Goldfish,Carassius_auratus,nektonic,high,sessile_food,Diet_predominatly_plants_fishbase,16.65,fisebase_10cm common length,Behavioural,37.5
"Behrend, Konstantin; Benkner, Boris; Mora-Ferrer, Carlos 2007 Temporal resolution and temporal transfer properties: Gabaergic and cholinergic mechanisms Temporal resolution and temporal transfer properties: Gabaergic and cholinergic mechanisms Behrend, Konstantin; Benkner, Boris; Mora-Ferrer, Carlos",Actinopterygii,Goldfish,Carassius_auratus,nektonic,high,sessile_food,"Fishbase description of Feed mainly on plankton, benthic invertebrates, plant material and detritus",16.65,fisebase_10cm common length,Electrophysiology,34
"Bilotta, J; Lynd, FM; Powers, MK 1998 Effects of mean luminance on goldfish temporal contrast sensitivity Effects of mean luminance on goldfish temporal contrast sensitivity Bilotta, J; Lynd, FM; Powers, MK",Actinopterygii,Goldfish,Carassius_auratus,nektonic,high,sessile_food,"Fishbase description of Feed mainly on plankton, benthic invertebrates, plant material and detritus",16.65,fisebase_10cm common length,Behavioural,24
"Milosevic, Milena; Visnjic-Jeftic, Zeljka; Damjanovic, Ilija; Nikcevic, Miroslav; Andjus, Pavle; Gacic, Zoran 2009 Temporal analysis of electroretinographic responses in fishes with rod-dominated and mixed rod-cone retina Temporal analysis of electroretinographic responses in fishes with rod-dominated and mixed rod-cone retina Milosevic, Milena; Visnjic-Jeftic, Zeljka; Damjanovic, Ilija; Nikcevic, Miroslav; Andjus, Pavle; Gacic, Zoran",Actinopterygii,Prussian carp,Carassius_gibelio,nektonic,high,sessile_food,Feeds_predominatly_on_plant_material_and_detritus_fishbase,157.58,fishbase on 20cm,Electrophysiology,33
"McComb, D. Michelle; Kajiura, Stephen M.; Horodysky, Andrij Z.; Frank, Tamara M. 2013 Comparative Visual Function in Predatory Fishes from the Indian River Lagoon Comparative Visual Function in Predatory Fishes from the Indian River Lagoon McComb, D. Michelle; Kajiura, Stephen M.; Horodysky, Andrij Z.; Frank, Tamara M.",Actinopterygii,Common snook,Centropomus_undecimalis,nektonic,high,ballistic,feeds_on_finfish_but_also_benthic_food_from_fishbase,959.42,fishbase 50cm common length,Electrophysiology,39.6
