CFF_reference,Critical_appraisal_keep,Critical_appraisal,Class,Spname_common,Spname_raw,Species_phylo,Spname_accepted,habitat,forage_light_level,mode_of_life,mode-of_life_ref,body_mass_us,body_mass_ref,Method_raw,Method,CFF_value_type,CFF,CFF_max_from_Lafitte_2022,Comments_from_Lafitte_2022,,
"Chung, Wen-Sung; Marshall, N. Justin; Watson, Sue-Ann; Munday, Philip L.; Nilsson, Goran E. 2014 Ocean acidification slows retinal function in a damselfish through interference with GABA(A) receptors Ocean acidification slows retinal function in a damselfish through interference with GABA(A) receptors Chung, Wen-Sung; Marshall, N. Justin; Watson, Sue-Ann; Munday, Philip L.; Nilsson, Goran E.",y,H,Actinopterygii,Spiny chromis,Acanthochromis polyacanthus,Acanthochromis_polyacanthus,"Acanthochromis polyacanthusÊBleeker, 1855",pelagic,high,forage,based_on_food_items_fishbase,173.91,fishbase_common_16cm size,ERG,Electrophysiology,mean,89,90.6,"mean (89.0±1.6 Hz); ""weell lit environment""",,
"Ali, M.A. and Kobayashi, H., 1968. ElectroretinogramÑflicker fusion frequency in albino trout. Experientia, 24(5), pp.454-455.",n,Not_appraised,Actinopterygii,Bowfin,Amia calva,Amia_calva,,demersal,low,ballistic,Includes_other_fish_fishbase,5097.9,fishbase_common_32.3cm size,ERG,Electrophysiology,,38,38,,,
"Milosevic, Milena; Visnjic-Jeftic, Zeljka; Damjanovic, Ilija; Nikcevic, Miroslav; Andjus, Pavle; Gacic, Zoran 2009 Temporal analysis of electroretinographic responses in fishes with rod-dominated and mixed rod-cone retina Temporal analysis of electroretinographic responses in fishes with rod-dominated and mixed rod-cone retina Milosevic, Milena; Visnjic-Jeftic, Zeljka; Damjanovic, Ilija; Nikcevic, Miroslav; Andjus, Pavle; Gacic, Zoran",y,M,Actinopterygii,European eel,Anguilla anguilla,Anguilla_anguilla,"Anguilla anguillaÊLinnaeus, 1758",demersal,low,forage,predominatly_detris_and_slow_moving_benthic_fishbase,224.78,fishbase_common_50cm size,ERG,Electrophysiology,mean,20,20,mean ; not maximum light intensity,,
"Douglas RH, Hawryshyn CW (1990) Behavioural studies of fish vision: an analysis of feature-positive effect. In: Douglas RH, Djamgoz MBA (eds) The visual system of fish. London: Chapman Hall. pp. 279Ð343. / INGER ",y,Not_appraised,Actinopterygii,Siamise fighting fish,Betta splendens,Betta_splendens,,pelagic,high,ballistic,Diet_of_insects_fishbase,1.1,"mean_body_mass_from Saekhow, S., Thongprajukaew, K., Phromkunthong, W. et al. Minimal water volume for intensively producing male Siamese fighting fish (Betta splendens Regan, 1910). Fish Physiol Biochem 44, 1075–1085 (2018). https://doi.org/10.1007/s10695-018-0495-z",Behavioural,Behavioural,,60,60,,,
"Behrend, Konstantin; Benkner, Boris; Mora-Ferrer, Carlos 2007 Temporal resolution and temporal transfer properties: Gabaergic and cholinergic mechanisms Temporal resolution and temporal transfer properties: Gabaergic and cholinergic mechanisms Behrend, Konstantin; Benkner, Boris; Mora-Ferrer, Carlos",y,M,Actinopterygii,Goldfish,Carassius auratus,Carassius_auratus,"Carassius auratus Linnaeus, 1758",pelagic,high,forage,"Fishbase description of Feed mainly on plankton, benthic invertebrates, plant material and detritus",16.65,fisebase_10cm common length,ERG,Electrophysiology,Unknown,34,34,"FFF; ""the behavioral flicker fusion frequency, about 39 Hz, is approximately 5 Hz higher than the ERG-derived flicker fusion frequency""",,
"Behrend, Konstantin; Benkner, Boris; Mora-Ferrer, Carlos 2007 Temporal resolution and temporal transfer properties: Gabaergic and cholinergic mechanisms Temporal resolution and temporal transfer properties: Gabaergic and cholinergic mechanisms Behrend, Konstantin; Benkner, Boris; Mora-Ferrer, Carlos",y,M,Actinopterygii,Goldfish,Carassius auratus,Carassius_auratus,"Carassius auratus Linnaeus, 1758",pelagic,high,forage,"Fishbase description of Feed mainly on plankton, benthic invertebrates, plant material and detritus",16.65,fisebase_10cm common length,Behavioural,Behavioural,range,39.5,40,FFF ; range for behavioural for half-maximal behavioural response,,
"Bilotta, J; Lynd, FM; Powers, MK 1998 Effects of mean luminance on goldfish temporal contrast sensitivity Effects of mean luminance on goldfish temporal contrast sensitivity Bilotta, J; Lynd, FM; Powers, MK",y,M,Actinopterygii,Goldfish,Carassius auratus,Carassius_auratus,"Carassius auratus Linnaeus, 1758",pelagic,high,forage,"Fishbase description of Feed mainly on plankton, benthic invertebrates, plant material and detritus",16.65,fisebase_10cm common length,Behavioural,Behavioural,extrapolation,24,24,"at 10 cd/m 2, FFF ; ""The CFF at l0 cd/m 2, determined by extrapolating to find the temporal frequency detectable at 25% contrast (0.6 on the log contrast sensitivity axis), is about 24 Hz"" ; ""At a mean luminance of 10 -1 cd/m 2, the CFF was about 13 Hz. """,,
"Mora-Ferrer, C; Gangluff, V 2002 D2-dopamine receptor blockade modulates temporal resolution in goldfish D2-dopamine receptor blockade modulates temporal resolution in goldfish Mora-Ferrer, C; Gangluff, V",y,H,Actinopterygii,Goldfish,Carassius auratus,Carassius_auratus,"Carassius auratus Linnaeus, 1758",pelagic,high,forage,Diet_predominatly_plants_fishbase,16.65,fisebase_10cm common length,Behavioural,Behavioural,range,37.5,40,"range of individual values FFF, not CFF (max luminance)",,
"Pusch, Roland; Kassing, Vanessa; Riemer, Ursula; Wagner, Hans-Joachim; von der Emde, Gerhard; Engelmann, Jacob 2013 A grouped retina provides high temporal resolution in the weakly electric fish Gnathonemus petersii A grouped retina provides high temporal resolution in the weakly electric fish Gnathonemus petersii Pusch, Roland; Kassing, Vanessa; Riemer, Ursula; Wagner, Hans-Joachim; von der Emde, Gerhard; Engelmann, Jacob",y,M,Actinopterygii,Goldfish,Carassius auratus,Carassius_auratus,"Carassius auratus Linnaeus, 1758",pelagic,high,forage,"Fishbase description of Feed mainly on plankton, benthic invertebrates, plant material and detritus",16.65,fisebase_10cm common length,ERG,Electrophysiology,mean,40,40,about' ; high frequency CFF ; at 100 % contrast,,
"Milosevic, Milena; Visnjic-Jeftic, Zeljka; Damjanovic, Ilija; Nikcevic, Miroslav; Andjus, Pavle; Gacic, Zoran 2009 Temporal analysis of electroretinographic responses in fishes with rod-dominated and mixed rod-cone retina Temporal analysis of electroretinographic responses in fishes with rod-dominated and mixed rod-cone retina Milosevic, Milena; Visnjic-Jeftic, Zeljka; Damjanovic, Ilija; Nikcevic, Miroslav; Andjus, Pavle; Gacic, Zoran",y,M,Actinopterygii,Prussian carp,Carassius gibelio,Carassius_gibelio,"Carassius gibelioÊBloch, 1782",pelagic,high,forage,Feeds_predominatly_on_plant_material_and_detritus_fishbase,157.58,fishbase on 20cm,ERG,Electrophysiology,mean,33,33,mean ; not maximum light intensity,,
